Rodovia,TipoRodovi,Orientacao,Origem,Municipio,CodRegiona,SedeRegion,KmInicial,KmFinal,Extensao,DescricaoI,DescricaoF,Jurisdicao,Administra,Conservado,TipoPista,Sobreposic,Subposicao,PerimetroU,DataInicio,DataFimCon,EstadualCo,Denominaca,Legislacao,TPUso,TransfMuni,Subtrecho
SP 055,Eixo,Transversal,Estadual,Praia Grande,DR 05,Cubatão,292.2,302.77,10.57,Final Trecho Ecovias,Divisa Municipal Praia Grande / Mongaguá,Estadual,Concessionária,Novo Litoral,DUP,,,Nã,01 11 2024,01 11 2054,Sim,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE4843
SP 055,Eixo,Transversal,Estadual,Itanhaém,DR 05,Cubatão,315.07,323.69,8.62,Divisa Municipal Mongaguá / Itanhaém,Acesso Itanhaém,Estadual,Concessionária,Novo Litoral,DUP,,,Nã,01 11 2024,01 11 2054,Sim,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE0887
SP 055,Eixo,Transversal,Estadual,Itanhaém,DR 05,Cubatão,323.69,338.57,14.88,Acesso Itanhaém,Divisa Municipal Itanhaém / Peruibe,Estadual,Concessionária,Novo Litoral,DUP,,,Nã,01 11 2024,01 11 2054,Sim,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE6240
SP 055,Eixo,Transversal,Estadual,Mongaguá,DR 05,Cubatão,302.77,304.16,1.39,Divisa Municipal Praia Grande / Mongaguá,Acesso Mongaguá,Estadual,Concessionária,Novo Litoral,DUP,,,Nã,01 11 2024,01 11 2054,Sim,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE0508
SP 055,Eixo,Transversal,Estadual,Mongaguá,DR 05,Cubatão,304.16,315.07,10.91,Acesso Mongaguá,Divisa Municipal Mongaguá / Itanhaém,Estadual,Concessionária,Novo Litoral,DUP,,,Nã,01 11 2024,01 11 2054,Sim,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE2514
SP 055,Eixo,Transversal,Estadual,Peruíbe,DR 05,Cubatão,338.57,344.0,5.43,Divisa Municipal Itanhaém / Peruibe,Acesso Peruibe - Entroncamento SPA 344/055 (A),Estadual,Concessionária,Novo Litoral,DUP,,,Nã,01 11 2024,01 11 2054,Sim,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE6019
SP 055,Eixo,Transversal,Estadual,Peruíbe,DR 05,Cubatão,344.0,345.05,1.05,Acesso Peruibe - Entroncamento SPA 344/055 (A),Fim do trecho pista dupla,Estadual,Concessionária,Novo Litoral,DUP,,,Nã,01 11 2024,01 11 2054,Nã,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE5878
SP 055,Eixo,Transversal,Estadual,Peruíbe,DR 05,Cubatão,345.05,351.58,6.53,Fim do trecho pista dupla,Divisa Municipal Peruibe / Itariri,Estadual,Concessionária,Novo Litoral,PAV,,,Nã,01 11 2024,01 11 2054,Nã,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE2433
SP 055,Eixo,Transversal,Estadual,Pedro de Toledo,DR 05,Cubatão,369.87,373.57,3.7,Divisa Municipal Itariri / Pedro de Toledo,Acesso Pedro de Toledo,Estadual,Concessionária,Novo Litoral,PAV,,,Nã,01 11 2024,01 11 2054,Nã,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE5997
SP 055,Eixo,Transversal,Estadual,Pedro de Toledo,DR 05,Cubatão,373.57,380.05,6.48,Acesso Pedro de Toledo,Divisa Municipal Pedro de Toledo / Miracatu,Estadual,Concessionária,Novo Litoral,PAV,,,Nã,01 11 2024,01 11 2054,Nã,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE1291
SP 055,Eixo,Transversal,Estadual,Itariri,DR 05,Cubatão,351.58,359.09,7.51,Divisa Municipal Peruibe / Itariri,Acesso Peruibe - Entrocamento SPA 344/055 (B),Estadual,Concessionária,Novo Litoral,PAV,,,Nã,01 11 2024,01 11 2054,Nã,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE1213
SP 055,Eixo,Transversal,Estadual,Itariri,DR 05,Cubatão,359.09,366.14,7.05,Acesso Peruibe - Entrocamento SPA 344/055 (B),Acesso Itariri (I),Estadual,Concessionária,Novo Litoral,PAV,,,Nã,01 11 2024,01 11 2054,Nã,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE9357
SP 055,Eixo,Transversal,Estadual,Itariri,DR 05,Cubatão,366.14,369.11,2.97,Acesso Itariri (I),Acesso Itariri (II),Estadual,Concessionária,Novo Litoral,PAV,,,Nã,01 11 2024,01 11 2054,Nã,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE4760
SP 055,Eixo,Transversal,Estadual,Itariri,DR 05,Cubatão,369.11,369.87,0.76,Acesso Itariri (II),Divisa Municipal Itariri / Pedro de Toledo,Estadual,Concessionária,Novo Litoral,PAV,,,Nã,01 11 2024,01 11 2054,Nã,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE7584
SP 043,Eixo,Transversal,Estadual,Ribeirão Pires,DR 10,São Paulo,53.8,56.5,2.7,Entroncamento SP 031 (km 53) (Iupeba),Divisa Municipal Ribeirão Pires / Suzano,Estadual,DER,10.04,IMP,,,Nã,,,Nã,Estrada Vereadora Mercedes D'Orto,Dec Lei 15.843 de 01/07/2015,,,043SPE8248
SP 150,Eixo,Radial,Estadual,São Bernardo do Campo,DR 10,São Paulo,13.18,18.4,5.22,Divisa Municipal São Paulo / São Bernardo do Campo,Acesso SP 180,Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Anchieta, Via","Men. Dec. 10.418 , 11/08/39",,,150SPE3668
SP 150,Eixo,Radial,Estadual,São Bernardo do Campo,DR 10,São Paulo,18.4,29.42,11.02,Acesso SP 180,Entroncamento SP 148 (km 29),Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Anchieta, Via","Men. Dec. 10.418 , 11/08/39",,,150SPE8034
SP 150,Eixo,Radial,Estadual,São Bernardo do Campo,DR 10,São Paulo,29.42,40.02,10.6,Entroncamento SP 148 (km 29),Entroncamento SPI 040/150,Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Anchieta, Via","Men. Dec. 10.418 , 11/08/39",,,150SPE4005
SP 150,Eixo,Radial,Estadual,São Bernardo do Campo,DR 10,São Paulo,40.02,42.87,2.85,Entroncamento SPI 040/150,Divisa Municipal São Bernardo do Campo / Cubatão,Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Anchieta, Via","Men. Dec. 10.418 , 11/08/39",,,150SPE1279
SP 148,Eixo,Radial,Estadual,São Bernardo do Campo,DR 10,São Paulo,29.422,33.1,3.678,Entroncamento SP 150 (km 29) (Riacho Grande),Entroncamento SP 031 (km 33),Estadual,DER,10.01,PAV,,,Nã,,,Nã,Caminho do Mar,Lei nº 2.360 de 04 janeiro de 1.929,,,148SPE5783
SP 148,Eixo,Radial,Estadual,São Bernardo do Campo,DR 10,São Paulo,33.1,38.1,5.0,Entroncamento SP 031 (km 33),Inicio trecho sob adminitração da Sec. da Fazenda,Estadual,DER,10.01,PAV,,,Nã,,,Nã,Caminho do Mar,Lei nº 2.360 de 04 janeiro de 1.929,,,148SPE6267
SP 148,Eixo,Radial,Estadual,São Bernardo do Campo,DR 10,São Paulo,38.1,42.8,4.7,Inicio trecho sob adminitração da Sec. da Fazenda,Divisa Municipal São Bernardo do Campo /Cubatão,Estadual,Prefeitura,Sec. da Fazenda,PAV,,,Nã,03 09 2020,03 09 2052,Nã,Caminho do Mar,Lei nº 2.360 de 04 janeiro de 1.929,,,148SPE5304
SP 066,Eixo,Radial,Estadual,São José dos Campos,DR 06,Taubaté,103.1,108.6,5.5,Divisa municipal Jacareí/São José dos Campos,Entroncamento BR 116 (km 154.5) (SP 060),Estadual,Prefeitura,Prefeitura,PAV,,,Nã,,,Nã,Geraldo Scavone,Lei 6.845 de 26/04/90,,,066SPE2557
SP 099,Eixo,Transversal,Estadual,São José dos Campos,DR 06,Taubaté,0.0,4.5,4.5,Entroncamento BR 116 (km 151) (São José Dos Campos Perímetro Urbano (A)),São José dos Campos Perímetro Urbano (B),Estadual,Prefeitura,Prefeitura,DUP,,,Nã,,,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE7154
SP 099,Eixo,Transversal,Estadual,São José dos Campos,DR 06,Taubaté,4.5,9.3,4.8,São José dos Campos Perímetro Urbano (B),Fim trecho denominado Octavio Fria de Oliveira,Estadual,Concessionária,Ecopistas,DUP,,,Nã,18 06 2009,31 05 2039,Nã,Octavio Fria de Oliveira,Decreto nº 54.652 de 06/08/2009,,,099SPE0695
SP 099,Eixo,Transversal,Estadual,São José dos Campos,DR 06,Taubaté,9.3,10.0,0.7,Fim trecho denominado Octavio Fria de Oliveira,Entroncamento SP 070 (km 96),Estadual,Concessionária,Ecopistas,DUP,,,Nã,18 06 2009,31 05 2039,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/1978,,,099SPE4920
SP 099,Eixo,Transversal,Estadual,São José dos Campos,DR 06,Taubaté,10.0,11.5,1.5,Entroncamento SP 070 (km 96),Final Trecho Concedido,Estadual,Concessionária,Ecopistas,DUP,,,Nã,18 06 2009,31 05 2039,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/1978,,,099SPE8678
SP 099,Eixo,Transversal,Estadual,São José dos Campos,DR 06,Taubaté,11.5,12.93,1.43,Final Trecho Concedido,Divisa Municipal São José dos Campos / Jacareí,Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE8815
SP 099,Eixo,Transversal,Estadual,Paraibuna,DR 06,Taubaté,26.0,32.55,6.55,Divisa Municipal Jambeiro / Paraibuna,Acesso Paraibuna - SPA 032/099,Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE5529
SP 099,Eixo,Transversal,Estadual,Paraibuna,DR 06,Taubaté,32.55,33.995,1.445,Acesso Paraibuna - SPA 032/099,Acesso Paraibuna - SPA 033/099,Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE3756
SP 099,Eixo,Transversal,Estadual,Paraibuna,DR 06,Taubaté,33.995,35.29,1.295,Acesso Paraibuna - SPA 033/099,Entroncamento SPA 035/099,Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE0904
SP 099,Eixo,Transversal,Estadual,Paraibuna,DR 06,Taubaté,35.29,37.9,2.61,Entroncamento SPA 035/099,Entroncamento SPA 037 / 099 (km Zero),Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE8363
SP 099,Eixo,Transversal,Estadual,Paraibuna,DR 06,Taubaté,37.9,55.3,17.4,Entroncamento SPA 037 / 099 (km Zero),Entroncamento SP 088 (km 135),Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE0775
SP 099,Eixo,Transversal,Estadual,Paraibuna,DR 06,Taubaté,55.3,60.721,5.421,Entroncamento SP 088 (km 135),Inicio do trecho Duplicado,Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE0099
SP 099,Eixo,Transversal,Estadual,Paraibuna,DR 06,Taubaté,60.721,64.25,3.529,Inicio do trecho Duplicado,Divisa Municipal Paraibuna / Caraguatatuba,Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE6850
SP 088,Eixo,Radial,Estadual,Paraibuna,DR 06,Taubaté,106.7,135.75,29.05,Divisa Municipal Salesópolis / Paraibuna,Entroncamento SP 099 km 55,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Professor Alfredo Rolim de Moura,Lei 3.216 de 05/01/1982 (Alt. P Lei 9.368 de 3/9/96),,,088SPE8980
SP 099,Eixo,Transversal,Estadual,Jambeiro,DR 06,Taubaté,14.4,23.47,9.07,Divisa Municipal Jacareí / Jambeiro,Entroncamento SP 103 (km 32),Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE1259
SP 099,Eixo,Transversal,Estadual,Jambeiro,DR 06,Taubaté,23.47,26.0,2.53,Entroncamento SP 103 (km 32),Divisa Municipal Jambeiro / Paraibuna,Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE7493
SP 066,Eixo,Radial,Estadual,Jacareí,DR 06,Taubaté,81.54,90.8,9.26,Divisa Municipal Guararema / Jacareí,Acesso Jacareí Perímetro Urbano (A),Estadual,DER,10.04,PAV,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,,,066SPE1405
SP 066,Eixo,Radial,Estadual,Jacareí,DR 06,Taubaté,90.8,92.0,1.2,Acesso Jacareí Perímetro Urbano (A),Acesso Jacareí Perímetro Urbano (B),Estadual,DER,10.04,PAV,,,Nã,,,Nã,General Euryale de Jesus Zerbine,Lei 3.826 de 19/09/83,,,066SPE2109
SP 066,Eixo,Radial,Estadual,Jacareí,DR 06,Taubaté,92.0,96.3,4.3,Acesso Jacareí Perímetro Urbano (B),Jacareí Perímetro Urbano (B),Estadual,DER,10.04,PAV,,,Nã,,,Nã,General Euryale de Jesus Zerbine,Lei 3.826 de 19/09/83,,,066SPE7419
SP 066,Eixo,Radial,Estadual,Jacareí,DR 06,Taubaté,96.3,97.3,1.0,Jacareí Perímetro Urbano (B),Inicío do trecho pista Dupla,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Geraldo Scavone,Lei 6.845 de 26/04/90,,,066SPE1805
SP 066,Eixo,Radial,Estadual,Jacareí,DR 06,Taubaté,97.3,99.6,2.3,Inicío do trecho pista Dupla,Jacareí Perímetro Urbano (B) / Fim do trecho pista dupla,Estadual,DER,10.04,DUP,,,Nã,,,Nã,Geraldo Scavone,Lei 6.845 de 26/04/90,,,066SPE6079
SP 066,Eixo,Radial,Estadual,Jacareí,DR 06,Taubaté,99.6,103.1,3.5,Jacareí Perímetro Urbano (B) / Fim do trecho pista dupla,Divisa municipal Jacareí/São José dos Campos,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Geraldo Scavone,Lei 6.845 de 26/04/90,,,066SPE9476
SP 099,Eixo,Transversal,Estadual,Jacareí,DR 06,Taubaté,12.93,14.4,1.47,Divisa Municipal São José dos Campos / Jacareí,Divisa Municipal Jacareí / Jambeiro,Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE2750
SP 125,Eixo,Transversal,Estadual,Taubaté,DR 06,Taubaté,0.0,4.0,4.0,Entroncamento BR 116 (km 112) (Taubaté),Entroncamento SPA 003/125,Estadual,Prefeitura,Prefeitura,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE2505
SP 125,Eixo,Transversal,Estadual,Taubaté,DR 06,Taubaté,4.0,5.75,1.75,Entroncamento SPA 003/125,"Entroncamento SP 070 (km 134,580)",Estadual,Prefeitura,Prefeitura,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE5752
SP 125,Eixo,Transversal,Estadual,Taubaté,DR 06,Taubaté,5.75,14.208,8.458,"Entroncamento SP 070 (km 134,580)",Entroncamento SPA 014/125,Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE6515
SP 125,Eixo,Transversal,Estadual,Taubaté,DR 06,Taubaté,14.208,21.1,6.892,Entroncamento SPA 014/125,Entroncamento SP 121 (km Zero),Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE0059
SP 125,Eixo,Transversal,Estadual,Taubaté,DR 06,Taubaté,21.1,26.3,5.2,Entroncamento SP 121 (km Zero),Divisa Municipal Taubaté / Redenção da Serra,Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE3801
SP 125,Eixo,Transversal,Estadual,Natividade da Serra,DR 06,Taubaté,54.23,66.34,12.11,Divisa Municipal São Luíz Paraitinga / Natividade da Serra,Divisa Municipal Natividade da Serra / São Luíz Paraitinga,Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE3300
SP 125,Eixo,Transversal,Estadual,São Luís do Paraitinga,DR 06,Taubaté,31.1,39.3,8.2,Divisa Municipal Redenção Serra / São Luíz Paraitinga,Entroncamento SP 153 (km Zero),Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE8302
SP 125,Eixo,Transversal,Estadual,São Luís do Paraitinga,DR 06,Taubaté,39.3,41.89,2.59,Entroncamento SP 153 (km Zero),Acesso São Luíz do Paraitinga (I) - SPA 042/125,Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE8951
SP 125,Eixo,Transversal,Estadual,São Luís do Paraitinga,DR 06,Taubaté,41.89,43.7,1.81,Acesso São Luíz do Paraitinga (I) - SPA 042/125,Acesso São Luiz do Paraitinga (II) - SPA 043/125,Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE4675
SP 125,Eixo,Transversal,Estadual,São Luís do Paraitinga,DR 06,Taubaté,43.7,46.0,2.3,Acesso São Luiz do Paraitinga (II) - SPA 043/125,Entroncamento SPA 046/125 (km Zero) (para Catuçaba),Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE1881
SP 125,Eixo,Transversal,Estadual,São Luís do Paraitinga,DR 06,Taubaté,46.0,54.23,8.23,Entroncamento SPA 046/125 (km Zero) (para Catuçaba),Divisa Municipal São Luíz Paraitinga / Natividade da Serra,Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE7520
SP 125,Eixo,Transversal,Estadual,São Luís do Paraitinga,DR 06,Taubaté,66.34,77.8,11.46,Divisa Municipal Natividade da Serra / São Luíz Paraitinga,Entroncamento SPA 046/125 (km 34),Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE7213
SP 125,Eixo,Transversal,Estadual,São Luís do Paraitinga,DR 06,Taubaté,77.8,78.95,1.15,Entroncamento SPA 046/125 (km 34),Divisa Municipal São Luíz do Paraitinga / Ubatuba,Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE3387
SP 125,Eixo,Transversal,Estadual,Redenção da Serra,DR 06,Taubaté,26.3,31.1,4.8,Divisa Municipal Taubaté / Redenção da Serra,Divisa Municipal Redenção Serra / São Luíz Paraitinga,Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE8765
SP 055,Eixo,Transversal,Estadual,Miracatu,DR 05,Cubatão,380.05,386.6,6.55,Divisa Municipal Pedro de Toledo / Miracatu,Acesso BR 116,Estadual,Concessionária,Novo Litoral,PAV,,,Nã,01 11 2024,01 11 2054,Nã,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE3733
SP 055,Eixo,Transversal,Estadual,Miracatu,DR 05,Cubatão,386.6,389.8,3.2,Acesso BR 116,Entroncamento BR 116 (km 384),Estadual,Concessionária,Novo Litoral,PAV,,,Nã,01 11 2024,01 11 2054,Nã,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE4780
SP 055,Eixo,Transversal,Estadual,Santos,DR 05,Cubatão,233.4,248.1,14.7,Divisa Municipio Bertioga/Santos,Entroncamento SPA 248/055,Estadual,Concessionária,Novo Litoral,PAV,BR 101,,Nã,01 11 2024,01 11 2054,Nã,s/d,,,,055SPE4338
SP 055,Eixo,Transversal,Estadual,Bertioga,DR 05,Cubatão,191.4,211.4,20.0,Divisa Municipal São Sebastião / Bertioga (DR.05/DR.06),inicio da concessao,Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE3431
SP 055,Eixo,Transversal,Estadual,Bertioga,DR 05,Cubatão,211.4,214.65,3.25,Início da concessão,Entroncamento SP 098 (km 98) (para Mogi das Cruzes),Estadual,Concessionária,Novo Litoral,PAV,BR 101,,Nã,01 11 2024,01 11 2054,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE1511
SP 055,Eixo,Transversal,Estadual,Bertioga,DR 05,Cubatão,214.65,220.45,5.8,Entroncamento SP 098 (km 98) (para Mogi das Cruzes),Trecho Estadual,Estadual,Concessionária,Novo Litoral,PAV,BR 101,,Nã,01 11 2024,01 11 2054,Nã,s/d,,,,055SPE6283
SP 055,Eixo,Transversal,Estadual,Bertioga,DR 05,Cubatão,220.45,233.4,12.95,Trecho Estadual,Divisa Municipio Bertioga/Santos,Estadual,Concessionária,Novo Litoral,PAV,BR 101,,Nã,01 11 2024,01 11 2054,Nã,s/d,,,,055SPE7167
SP 055,Eixo,Transversal,Estadual,Caraguatatuba,DR 06,Taubaté,81.97,87.24,5.27,Divisa Municipal Ubatuba / Caraguatatuba,Entroncamento BR 101 - Contorno Massaguaçu,Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE0266
SP 055,Eixo,Transversal,Estadual,Caraguatatuba,DR 06,Taubaté,87.24,89.1,1.86,Entroncamento BR 101 - Contorno Massaguaçu,Final da BR 101 - entroncamento SP 055,Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE3711
SP 055,Eixo,Transversal,Estadual,Caraguatatuba,DR 06,Taubaté,89.1,99.63,10.53,Final da BR 101 - entroncamento SP 055,Caraguatatuba Perímetro Urbano (A),Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE8406
SP 055,Eixo,Transversal,Estadual,Caraguatatuba,DR 06,Taubaté,99.63,102.3,2.67,Caraguatatuba Perímetro Urbano (A),Caraguatatuba Perímetro Urbano (B) / Entroncamento SP 099 (km 83) Início do trecho Duplicado,Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE9681
SP 055,Eixo,Transversal,Estadual,Caraguatatuba,DR 06,Taubaté,102.3,112.55,10.25,Caraguatatuba Perímetro Urbano (B) / Entroncamento SP 099 (km 83) Início do trecho Duplicado,Divisa Municipal Caraguatatuba / São Sebastião,Estadual,DER,05.04,DUP,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE4299
SP 055,Eixo,Transversal,Estadual,Ubatuba,DR 06,Taubaté,53.6,81.97,28.37,Entroncamento BR 101 (km 53) (Ubatuba),Divisa Municipal Ubatuba / Caraguatatuba,Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE7722
SP 055,Eixo,Transversal,Estadual,São Sebastião,DR 06,Taubaté,112.55,114.5,1.95,Divisa Municipal Caraguatatuba / São Sebastião,Fim do Trecho Duplicado,Estadual,DER,05.04,DUP,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE3919
SP 055,Eixo,Transversal,Estadual,São Sebastião,DR 06,Taubaté,114.5,120.0,5.5,Fim do Trecho Duplicado,São Sebastião Perímetro Urbano (A),Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE4543
SP 055,Eixo,Transversal,Estadual,São Sebastião,DR 06,Taubaté,120.0,130.0,10.0,São Sebastião Perímetro Urbano (A),São Sebastião Perímetro Urbano (B),Estadual,DER,05.04,PAV,BR 101,,Sim,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE6135
SP 055,Eixo,Transversal,Estadual,São Sebastião,DR 06,Taubaté,130.0,154.015,24.015,São Sebastião Perímetro Urbano (B),Acesso a Maresias,Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE2091
SP 055,Eixo,Transversal,Estadual,São Sebastião,DR 06,Taubaté,154.015,165.91,11.895,Acesso a Maresias,Praia de Camburi - São Sebastião,Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE2885
SP 055,Eixo,Transversal,Estadual,São Sebastião,DR 06,Taubaté,165.91,174.6,8.69,Praia de Camburi - São Sebastião,Praia Preta - São Sebastião,Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE8937
SP 055,Eixo,Transversal,Estadual,São Sebastião,DR 06,Taubaté,174.6,176.2,1.6,Praia Preta - São Sebastião,Praia do Juquei - São Sebastião,Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE6259
SP 055,Eixo,Transversal,Estadual,São Sebastião,DR 06,Taubaté,176.2,185.9,9.7,Praia do Juquei - São Sebastião,Praia da Juréia - São Sebastião,Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE0018
SP 055,Eixo,Transversal,Estadual,São Sebastião,DR 06,Taubaté,185.9,191.4,5.5,Praia da Juréia - São Sebastião,Divisa Municipal São Sebastião / Bertioga (DR.05/DR.06),Estadual,DER,05.04,PAV,BR 101,,Nã,,,Nã,Doutor Manoel Hyppolito Rego,Lei 4.799 de 25/10/85,,,055SPE0834
