Rodovia,TipoRodovi,Orientacao,Origem,Municipio,CodRegiona,SedeRegion,KmInicial,KmFinal,Extensao,DescricaoI,DescricaoF,Jurisdicao,Administra,Conservado,TipoPista,Sobreposic,Subposicao,PerimetroU,DataInicio,DataFimCon,EstadualCo,Denominaca,Legislacao,TPUso,TransfMuni,Subtrecho
SP 150,Eixo,Radial,Estadual,Cubatão,DR 05,Cubatão,54.77,58.95,4.18,Entroncamento SP 055 (km 270),Entroncamento SPI 059/150 (km 1),Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Anchieta, Via","Men. Dec. 10.418 , 11/08/39",,,150SPE7071
SP 150,Eixo,Radial,Estadual,Cubatão,DR 05,Cubatão,58.95,61.7,2.75,Entroncamento SPI 059/150 (km 1),Divisa Municipal Cubatão / Santos,Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Anchieta, Via","Men. Dec. 10.418 , 11/08/39",,,150SPE8061
SP 148,Eixo,Radial,Estadual,Cubatão,DR 05,Cubatão,42.8,50.7,7.9,Divisa Municipal São Bernardo do Campo /Cubatão,Cubatão (Perimetro Urbano) (A),Estadual,Prefeitura,Sec. da Fazenda,PAV,,,Nã,03 09 2020,03 09 2052,Nã,Caminho do Mar,,,,148SPE7014
SP 148,Eixo,Radial,Estadual,Cubatão,DR 05,Cubatão,50.7,51.5,0.8,Cubatão (Perimetro Urbano) (A),Entroncamento SP 055 (km 268),Estadual,DER,05.04,DUP,,,Nã,,,Nã,Caminho do Mar,,,,148SPE9618
SP 148,Eixo,Radial,Estadual,Cubatão,DR 05,Cubatão,51.5,56.8,5.3,Entroncamento SP 055 (km 268),Cubatão Perimetro Urbano (B),Estadual,DER,05.04,DUP,,,Nã,,,Nã,Caminho do Mar,,,,148SPE1588
SP 148,Eixo,Radial,Estadual,Cubatão,DR 05,Cubatão,56.8,59.0,2.2,Cubatão Perimetro Urbano (B),Divisa Municipal Cubatão/Santos,Estadual,DER,05.04,PAV,,,Nã,,,Nã,Caminho do Mar,,,,148SPE7994
SP 061,Eixo,Transversal,Estadual,Guarujá,DR 05,Cubatão,0.0,4.5,4.5,Guarujá Perímetro Urbano (B),Final do trecho municipal - Inicio de Trecho Estadual,Estadual,DER,05.04,PAV,,,Nã,,,Nã,Ariovaldo de Almeida Viana,Lei 7.244 de 10/05/91,,,061SPE7907
SP 061,Eixo,Transversal,Estadual,Guarujá,DR 05,Cubatão,4.5,21.8,17.3,Final do trecho municipal - Inicio de Trecho Estadual,Ferry Boat (para Bertioga),Estadual,DER,05.04,PAV,,,Nã,,,Nã,Ariovaldo de Almeida Viana,Lei 7.244 de 10/05/91,,,061SPE6955
SP 055,Eixo,Transversal,Estadual,Santos,DR 05,Cubatão,248.1,259.5,11.4,Entroncamento SPA 248/055,Divisa Municipal Santos / Cubatão,Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Nã,s/d,,,,055SPE2400
SP 150,Eixo,Radial,Estadual,Santos,DR 05,Cubatão,61.7,65.6,3.9,Divisa Municipal Cubatão / Santos,Santos Perímetro Urbano (A),Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Anchieta, Via","Men. Dec. 10.418 , 11/08/39",,,150SPE5912
